trip_id,start_station,end_station,start_time,end_time,start_lat,start_lon,end_lat,end_lon,duration,passholder_type,bike_id,bike_type,ucla_trip_type
440194890,4643,4576,2024-09-23 01:07:00,2024-09-23 01:28:00,34.072620,-118.449440,34.022579,-118.405510,21,Walk-up,30126,electric,From UCLA
440277499,4644,4643,2024-09-23 07:41:00,2024-09-23 07:52:00,34.061859,-118.450020,34.072620,-118.449440,11,Monthly Pass,30547,electric,To UCLA
440291687,4643,4528,2024-09-23 07:45:00,2024-09-23 08:12:00,34.072620,-118.449440,34.060970,-118.444366,27,Walk-up,13595,standard,From UCLA
440291450,4613,4487,2024-09-23 07:55:00,2024-09-23 08:07:00,34.069752,-118.445351,34.062111,-118.446922,12,One Day Pass,15181,standard,From UCLA
440292221,4643,4614,2024-09-23 08:11:00,2024-09-23 08:19:00,34.072620,-118.449440,34.073650,-118.439842,8,Monthly Pass,30547,electric,UCLA to UCLA
440293064,4546,4613,2024-09-23 08:13:00,2024-09-23 08:36:00,34.031399,-118.453629,34.069752,-118.445351,23,Monthly Pass,27593,electric,To UCLA
440308188,4643,4613,2024-09-23 09:10:00,2024-09-23 09:13:00,34.072620,-118.449440,34.069752,-118.445351,3,Annual Pass,6568,standard,UCLA to UCLA
440308763,4613,4644,2024-09-23 09:12:00,2024-09-23 09:18:00,34.069752,-118.445351,34.061859,-118.450020,6,Monthly Pass,27593,electric,From UCLA
440309795,4528,4614,2024-09-23 09:15:00,2024-09-23 09:30:00,34.060970,-118.444366,34.073650,-118.439842,15,Monthly Pass,28900,electric,To UCLA
440309796,4528,4614,2024-09-23 09:16:00,2024-09-23 09:30:00,34.060970,-118.444366,34.073650,-118.439842,14,Monthly Pass,15577,standard,To UCLA
440311076,4644,4613,2024-09-23 09:36:00,2024-09-23 09:44:00,34.061859,-118.450020,34.069752,-118.445351,8,Monthly Pass,27593,electric,To UCLA
440328484,4614,4215,2024-09-23 09:41:00,2024-09-23 10:31:00,34.073650,-118.439842,34.014309,-118.491341,50,Monthly Pass,28900,electric,From UCLA
440328485,4614,4215,2024-09-23 09:41:00,2024-09-23 10:31:00,34.073650,-118.439842,34.014309,-118.491341,50,Monthly Pass,30547,electric,From UCLA
440311380,4643,4528,2024-09-23 09:41:00,2024-09-23 09:47:00,34.072620,-118.449440,34.060970,-118.444366,6,Monthly Pass,15121,standard,From UCLA
440312477,4643,4613,2024-09-23 09:54:00,2024-09-23 09:57:00,34.072620,-118.449440,34.069752,-118.445351,3,Monthly Pass,11982,standard,UCLA to UCLA
440327531,4549,4613,2024-09-23 09:56:00,2024-09-23 10:19:00,34.022449,-118.438332,34.069752,-118.445351,23,Monthly Pass,30059,electric,To UCLA
440328056,4613,4487,2024-09-23 10:16:00,2024-09-23 10:25:00,34.069752,-118.445351,34.062111,-118.446922,9,Monthly Pass,6274,standard,From UCLA
440328067,4613,4487,2024-09-23 10:17:00,2024-09-23 10:25:00,34.069752,-118.445351,34.062111,-118.446922,8,Monthly Pass,27593,electric,From UCLA
440328401,4644,4613,2024-09-23 10:21:00,2024-09-23 10:29:00,34.061859,-118.450020,34.069752,-118.445351,8,Monthly Pass,14003,standard,To UCLA
